"Story","Title","Result","Date","Stability","Duration (s)"
"Buy products","Buy Product","SUCCESS","2024-08-30T15:03:48.562-05:00[America/Bogota]","0.0","16.23"
"Buy products","Delete Product","SUCCESS","2024-08-30T15:04:06.012-05:00[America/Bogota]","0.0","15.1"
"Buy products","See Product","SUCCESS","2024-08-30T15:04:21.881-05:00[America/Bogota]","0.0","8.35"
"Buy products","Register Incomplete","SUCCESS","2024-08-30T15:04:31.024-05:00[America/Bogota]","0.0","8.09"
"Login Successful","Login successful","SUCCESS","2024-08-30T15:04:42.095-05:00[America/Bogota]","0.0","9.21"
"Login Successful","Login incorrect","SUCCESS","2024-08-30T15:04:52.098-05:00[America/Bogota]","0.0","8.93"
"Logout","Logout Complete","SUCCESS","2024-08-30T15:05:02.181-05:00[America/Bogota]","0.0","9.0"
"Search Element for List","Search and to Organize","SUCCESS","2024-08-30T15:05:12.247-05:00[America/Bogota]","0.0","12.78"
"Social Red","See X","SUCCESS","2024-08-30T15:05:26.031-05:00[America/Bogota]","0.0","14.88"
"Social Red","See Facebook","SUCCESS","2024-08-30T15:05:42.059-05:00[America/Bogota]","0.0","11.82"
"Social Red","See Linkedin","SUCCESS","2024-08-30T15:05:54.692-05:00[America/Bogota]","0.0","13.07"
